id,created_at,user,retweets,favorite_count,source,text
628963162138767360,2015-08-05 16:17:58,RepBillFoster,3,0,TweetDeck,RT @lynnsweet: #ObamaAtAU Only one member of Congress is a physicist: Democrat @RepBillFoster is undecided on the #Irandeal.  http://t.co/8…
628926297876639744,2015-08-05 13:51:28,RepBillFoster,344,0,Twitter Web Client,RT @Clyburn: The strength of our democracy rests upon the participation of every citizen. RT if you agree: @HouseGOP should join Dems to #R…
628644113185964032,2015-08-04 19:10:10,RepBillFoster,0,2,TweetDeck,Showing off my physics tie at the Woodridge @Rotary Club meeting #CongressScienceGuy http://t.co/X2iadFbpFG
628612868494229505,2015-08-04 17:06:01,RepBillFoster,37,33,TweetDeck,#StandwithPP #GetTheFacts https://t.co/EwyH9516gz
628596602819715072,2015-08-04 16:01:23,RepBillFoster,6,1,TweetDeck,RT to show you #StandWithPP and support a woman’s right to affordable health care.
628596485228232704,2015-08-04 16:00:55,RepBillFoster,0,3,TweetDeck,"80% of Planned Parenthood’s patients are low-income women who rely on PP for affordable, quality health care #StandWithPP"
628596298728501249,2015-08-04 16:00:11,RepBillFoster,2,0,TweetDeck,Fact: Republicans want to shut down the government to block funding for women’s health care. #StandwithPP
628583860310274048,2015-08-04 15:10:45,RepBillFoster,0,2,TweetDeck,Wow - did you see any from the ground? #IL11 https://t.co/JRsynnOtpo
628339608464457728,2015-08-03 23:00:11,RepBillFoster,3,7,TweetDeck,"Good news: Chicago has the highest % of women tech entrepreneurs in the country. #WomenInSTEM #womenwhocode http://t.co/j52lFGwCMJ
&gt;"
628325017101713408,2015-08-03 22:02:12,RepBillFoster,0,1,TweetDeck,Great to visit with the @CityofAuroraIL Noon @LionsClubs today and hear about the work they do in our community http://t.co/oqFiu48N0K
627239966435868672,2015-07-31 22:10:36,RepBillFoster,0,1,TweetDeck,Look out Bono  https://t.co/tTz1k9V9PJ
627239486062206976,2015-07-31 22:08:41,RepBillFoster,0,1,TweetDeck,Looking forward to seeing you in Washington! https://t.co/MU00FcfGOM
626872585066819584,2015-07-30 21:50:45,RepBillFoster,0,0,TweetDeck,I spoke w/ @bokonjoliet about the #highwaybill and local transpo needs. Look for the story in Sunday's @Joliet_HN http://t.co/Tj7Ku77w0D
626837975947722752,2015-07-30 19:33:14,RepBillFoster,3,3,TweetDeck,.@Suntimes @lynnsweet doesn't everyone know about isotopic abundances? Here's a refresher https://t.co/RK3CqfPxZ5
626834908451897344,2015-07-30 19:21:02,RepBillFoster,4,2,TweetDeck,Sometimes having a Ph.D. in physics comes in handy #CongressScienceGuy https://t.co/Zm43FbqNUW
626829649541246976,2015-07-30 19:00:09,RepBillFoster,2,0,TweetDeck,"Happy 50th #Medicare and #Medicaid! Here's to 50 more
#MedicareMedicaid50 http://t.co/9oP0BOgG6v"
626454507472453633,2015-07-29 18:09:28,RepBillFoster,12,0,TweetDeck,"RT @RealClearNews: In Congress, only one Rep. has a PhD in Physics | @RepBillFoster on #IranDeal with @JamesArkin http://t.co/pNUShxjIxl ht…"
626414175091343360,2015-07-29 15:29:12,RepBillFoster,1,0,TweetDeck,"RT @FabLabDC: @RepBillFoster Speaks About #FabLabs at ""Make It in America"" Hearing https://t.co/krtDRfAGqs H.R.1289 - National Fab Lab Netw…"
626401153828438017,2015-07-29 14:37:27,RepBillFoster,0,0,TweetDeck,Congratulations to @Boys2Men Scholar Samuel Núñez II on his appointment to the @CityofAuroraIL Hispanic Heritage Board! @samnu24
626143514502541312,2015-07-28 21:33:41,RepBillFoster,2,5,TweetDeck,Could gene editing lead to a cure for sickle cell disease? We asked that question at today’s R&amp;D Caucus hearing. http://t.co/LxqRKI5Yan
626121912134070272,2015-07-28 20:07:51,RepBillFoster,10,0,TweetDeck,RT @CarolCNN: Illinois Congressman @RepBillFoster calls for @TheJusticeDept to investigate jail cell death of #SandraBland  http://t.co/0y6…
626119460978577408,2015-07-28 19:58:06,RepBillFoster,2,0,TweetDeck,RT @HouseNewDems: Great to have #NewDems @RepBillFoster @RepCardenas and @RepBera join @WhipHoyer's #MakeItInAmerica panel on manufacturing…
626111621266579457,2015-07-28 19:26:57,RepBillFoster,0,1,TweetDeck,I’m discussing what's next for America's Innovators. Watch live here: http://t.co/Ts5BVsYH8q   #MakeItInAmerica #MIIA
626044308655874049,2015-07-28 14:59:29,RepBillFoster,124,0,Twitter Web Client,"RT @RepCardenas: Hey @SpeakerBoehner, if you're going to knock off a day early, can you #leavethegavel? We've got some ideas. #VRA #jobs
#i…"
625796469728129024,2015-07-27 22:34:39,RepBillFoster,10,0,TweetDeck,RT @JamesArkin: Did you know there’s a congressman w/ a Harvard PhD in physics? I sat down with @RepBillFoster to talk Iran deal http://t.c…
625781904177012737,2015-07-27 21:36:47,RepBillFoster,0,1,TweetDeck,I hope they will continue this progress by ending the costly and inhumane detention bed mandate http://t.co/HOdzo8EaVG
625781681778204672,2015-07-27 21:35:54,RepBillFoster,1,1,TweetDeck,Glad @ICEgov is taking this step to stop needlessly locking up women and children in immigrant #detention http://t.co/Y5TCHTZPTM
625480189968056321,2015-07-27 01:37:52,RepBillFoster,1,1,Twitter Web Client,Today we celebrate the passing of the Americans with Disabilities Act which helped millions of Americans reach their full potential #ADA25
625012335082663936,2015-07-25 18:38:47,RepBillFoster,2,5,TweetDeck,Great to see so many bright students at @Aurora_Housing's Scholarship Gala last night. Congrats to the winners! http://t.co/sR2rAtQL15
624609333297307649,2015-07-24 15:57:24,RepBillFoster,14,0,TweetDeck,RT @dailyherald: .@RepBillFoster wants federal probe into #SandraBland death http://t.co/jmaQrm4NPS
624372819724496900,2015-07-24 00:17:35,RepBillFoster,1,0,TweetDeck,Thanks for joining the discussion! https://t.co/aqYOmMnXYp
624331074852798464,2015-07-23 21:31:42,RepBillFoster,3,0,TweetDeck,RT @HouseNewDems: We need #DoddFrank b/c it makes markets better and helps prevent the next crisis by addressing what that caused the last …
624281142313754625,2015-07-23 18:13:17,RepBillFoster,16,12,TweetDeck,I'm proud to cosponsor the #EqualityAct because discrimination has no place in the US #EqualityForward http://t.co/5KEsglsivE
624280974508097536,2015-07-23 18:12:37,RepBillFoster,3,5,TweetDeck,In 31 states #LGBT Americans have no protection from discrimination. Let’s change that #EqualityForward
624280890500382720,2015-07-23 18:12:17,RepBillFoster,1,4,TweetDeck,"LGBT Americans shouldn’t wonder if they'll face harassment, discrimination when they go to a store or apply for housing #EqualityForward"
624277676501651456,2015-07-23 17:59:31,RepBillFoster,2,0,TweetDeck,We have seen great strides towards #equality for #LGBT Americans but we have more work to do #EqualityForward
624267596192444416,2015-07-23 17:19:27,RepBillFoster,0,1,TweetDeck,You can add me to the list -- I'm voting NO on #HR3009 https://t.co/hPyRsCnWlP
624251824384671745,2015-07-23 16:16:47,RepBillFoster,4,0,TweetDeck,RT @sierraclub: Thank you @repbillfoster for fighting bad #coal ash legislation! https://t.co/9PUygDa2Pg
624238769282117632,2015-07-23 15:24:55,RepBillFoster,2,4,TweetDeck,Why thank you! Always glad to be #making a difference https://t.co/jxgK1o7QrS
624227879702953984,2015-07-23 14:41:38,RepBillFoster,8,0,TweetDeck,RT @blairblackwell: The only physicist in Congress @RepBillFoster -leading the movement for more Makers across the U.S. @FabLabDC http://t.…
623984233875394564,2015-07-22 22:33:29,RepBillFoster,15,9,Twitter Web Client,#CleanWater is a basic right. We must protect the drinking water for America’s families by preventing pollution from #CoalAsh
623983754072190976,2015-07-22 22:31:34,RepBillFoster,3,2,Twitter Web Client,But that is exactly what happens when don’t have the proper protections in place #CoalAsh
623983699730763776,2015-07-22 22:31:21,RepBillFoster,6,2,Twitter Web Client,We can agree that we don’t want our children drinking water contaminated with lead and arsenic #CoalAsh
623983574061027329,2015-07-22 22:30:51,RepBillFoster,6,0,Twitter Web Client,"#CoalAsh contains many toxic elements, including arsenic, cadmium, chromium, lead, and selenium."
623983420406951936,2015-07-22 22:30:15,RepBillFoster,1,0,TweetDeck,RT @RepCloakroom: We have begun 10 minutes of debate on the Rep. Foster (D-IL) {@RepBillFoster} Motion to Recommit H.R. 1734 with instructi…
623981260378112004,2015-07-22 22:21:40,RepBillFoster,1,2,TweetDeck,About to introduce the @HouseDemocrats bill to overturn GOP efforts to deregulate #CoalAsh Watch live: http://t.co/OQeC8Zwe2f
623942564585074688,2015-07-22 19:47:54,RepBillFoster,2,3,TweetDeck,Who is behind @NASANewHorizons? A lot of smart women. Read more about them here: http://t.co/FNhnGbNZGh #womeninSTEM #STEM
623642074345271296,2015-07-21 23:53:51,RepBillFoster,3,1,TweetDeck,I went to the @HouseFloor to talk about the 5th anniversary of #DoddFrank Watch here: https://t.co/cw2nOtUZkc #WallStReformWorks
623592557851734016,2015-07-21 20:37:06,RepBillFoster,5,6,TweetDeck,#TFW Republicans talk about repealing #DoddFrank #WallSTReformWorks http://t.co/f6phdJKOtg
623592048579313664,2015-07-21 20:35:04,RepBillFoster,0,0,TweetDeck,#WallStReformWorks created the @CFPB to look out for Main St. consumers and prevent scams from stripping wealth from hard-working families
623591413142396928,2015-07-21 20:32:33,RepBillFoster,0,0,TweetDeck,"In five years, @CFPB has already returned over $10 billion to 17 million consumers #WallStReformWorks http://t.co/YmrrvkvcZB"
623520745453428736,2015-07-21 15:51:44,RepBillFoster,2,6,TweetDeck,#DoddFrank turns 5 today. I’m proud to have helped write these protections to ensure #WallStReformWorks http://t.co/TR8w1AMvkU
623247296130625537,2015-07-20 21:45:09,RepBillFoster,2,9,TweetDeck,I also got to show a future President of the United States how to tie a tie! http://t.co/eXxCs233MU
623247207949553664,2015-07-20 21:44:48,RepBillFoster,1,3,TweetDeck,Great to tour the Warren-Sharpe Community Center's Urban Garden today in Joliet. So many kids with green thumbs! http://t.co/WjPrFYgccL
623244785483165696,2015-07-20 21:35:10,RepBillFoster,0,2,TweetDeck,Thanks to all the #seniors who participated in my Finance 101 #budgeting workshop with @econ_progress. http://t.co/kxJWY19mxY
621774620321030144,2015-07-16 20:13:16,RepBillFoster,1,1,TweetDeck,"I went to the @HouseFloor to honor ""Scabby the Rat"" creator, and my friend, Don Newton. Watch here: https://t.co/JGhoPxRA0r"
621680806042464256,2015-07-16 14:00:29,RepBillFoster,4,3,Twitter Web Client,I'm hosting a #budgeting event w/ @econ_progress at @AuroraPublicLib's Eola Branch. More info http://t.co/yYv1BDYacG http://t.co/xbrAZ2wPrX
621435364088107012,2015-07-15 21:45:11,RepBillFoster,1,2,TweetDeck,Thank you for your important cancer advocacy work. https://t.co/DTeENiQEr1
621417840357175296,2015-07-15 20:35:33,RepBillFoster,0,1,Twitter Web Client,Looking forward to it! https://t.co/RXhiUtrZpr
621347881744736257,2015-07-15 15:57:33,RepBillFoster,3,0,TweetDeck,RT @ScottPaulAAM: Glad that @RepBillFoster is raising vital issue of currency manipulation at @federalreserve hearing. Important to #manufa…
621347674302844928,2015-07-15 15:56:44,RepBillFoster,1,0,TweetDeck,"RT @JimToesSTA: Grt Q to #Yellen by Congress' only scientist @RepBillFoster ""Every thing should be made as simple as possible, but not simp…"
621323256172290049,2015-07-15 14:19:42,RepBillFoster,1,0,TweetDeck,I’ll be questioning @federalreserve Chair #JanetYellen w/ @FSCDems at the @FinancialCmte today. What should I ask? http://t.co/5EYn640qKN
621049820820701184,2015-07-14 20:13:10,RepBillFoster,3,1,TweetDeck,@SpecialtyDocs thank you for stopping by!
621045781835968512,2015-07-14 19:57:07,RepBillFoster,1,1,TweetDeck,Was proud to vote for @RepAlGreen's Homes for Heroes Act after meeting w/ @HomesForOurTrps in Lockport this wknd https://t.co/dNYCVL9uXu
621041288788475904,2015-07-14 19:39:16,RepBillFoster,0,1,TweetDeck,An incredibly disappointing move from @HouseGOP The Hill: House GOP pulls breast cancer research bill http://t.co/NDIKia0Kf3
621029682302070784,2015-07-14 18:53:09,RepBillFoster,4,0,TweetDeck,RT @e4growth: We have to make sure Congress doesn't stack the deck against small businesses. -@RepBillFoster   #hr9
621029551716573184,2015-07-14 18:52:37,RepBillFoster,4,0,TweetDeck,"RT @InnovationAlli: .@RepBillFoster: #HR9 would throw #patent system out of balance, make innovation impossible for small inventors #patent…"
621006133466136577,2015-07-14 17:19:34,RepBillFoster,1,0,TweetDeck,RT @MayorNoak: Another Romeoville project recognized by the Illinois Chamber of Commerce. Congratulations to Magid! http://t.co/WPp3wh2lhi
621000813104766976,2015-07-14 16:58:26,RepBillFoster,138,0,TweetDeck,RT @ShuttleCDRKelly: .@NASANewHorizons flew by Pluto today. Here are some of the women who helped make it happen. http://t.co/ouX7nyAnAP ht…
620990597713801216,2015-07-14 16:17:50,RepBillFoster,0,2,TweetDeck,"As a scientist who was on the team that discovered the #topquark at @Fermilab, congrats to the team @LHCbExperiment #pentaquark"
620990480600428544,2015-07-14 16:17:22,RepBillFoster,0,1,TweetDeck,"In other #science news, researchers @CERN discovered a new subatomic particle. http://t.co/U5W0Wd0eaG http://t.co/7bVPG3rwgY"
620987033834663936,2015-07-14 16:03:40,RepBillFoster,2,3,TweetDeck,"Here's the latest picture taken during the #PlutoFlyby. @NASANewHorizons was taking pictures flying at 31,000 mph http://t.co/y6dFhzPB4T"
620986909431623680,2015-07-14 16:03:11,RepBillFoster,1,1,TweetDeck,"Congrats to @NASANewHorizons on visiting Pluto! 9 years and 3 billion miles later, we're ready for a closer look! http://t.co/kVx7Gpg4JW"
620963501297807360,2015-07-14 14:30:10,RepBillFoster,0,0,TweetDeck,"The #IranDeal should be based on verification, not trust, and the technical details are crucial. My full statement: http://t.co/BuowT1iKCJ"
620962919057084416,2015-07-14 14:27:51,RepBillFoster,0,1,TweetDeck,"A nuclear armed Iran is not acceptable. As the only Ph.D. scientist in Congress, I will continue to closely study details of the #IranDeal"
620962445012664320,2015-07-14 14:25:58,RepBillFoster,1,2,TweetDeck,I commend @POTUS @JohnKerry and @ErnestMoniz for their tireless efforts that have led to this historic agreement with Iran.
620649064712007680,2015-07-13 17:40:42,RepBillFoster,1,2,TweetDeck,Our country needs strong investment in workforce training and education if we are going to remain competitive in the global marketplace.
620649022219419649,2015-07-13 17:40:32,RepBillFoster,2,0,TweetDeck,"Some ask why so little trust in pols: saying you're for something and then voting against it doesn't inspire trust
http://t.co/BVYhPMZLgy"
620628655216050176,2015-07-13 16:19:36,RepBillFoster,2,0,TweetDeck,"RT @AP_Planner: Tomorrow: @NASANewHorizons makes its closest approach to Pluto - around 7,800 miles above the surface of the dwarf planet #…"
620627073564999680,2015-07-13 16:13:19,RepBillFoster,1,2,TweetDeck,Congrats to Dr. Jeff Margolis (@TechGuyJeff) on his appointment as VP of External Affairs at @IMSA_. Great leader in tech + #STEM education
620615212727558144,2015-07-13 15:26:11,RepBillFoster,1,0,TweetDeck,RT @lindachapalavia: Great event coming up next Monday! Join Congressman @RepBillFoster in his Finance 101: living on a Fixed Income! http:…
620611221599842304,2015-07-13 15:10:20,RepBillFoster,1,2,TweetDeck,This weekend I welcomed @VNAHealthCare to @RomeovilleToday at the groundbreaking of their new clinic http://t.co/kQoimmh7kO
619989618880983044,2015-07-11 22:00:18,RepBillFoster,1,1,TweetDeck,"I spoke at the dedication of a park in @PlainfieldIL named after Pfc. Andrew Meari, who was KIA in Afghanistan http://t.co/KXlGLwo0L8"
619987373997174784,2015-07-11 21:51:23,RepBillFoster,2,2,TweetDeck,"Glad to visit the groundbreaking of a home for Captain Tony Simone, injured in Afghanistan, built by @HomesForOurTrps http://t.co/Y46EZbdRwp"
619595029431062528,2015-07-10 19:52:21,RepBillFoster,0,2,TweetDeck,Thanks to everyone who spoke out in support of #Cures2015 I’m glad we were able to pass this important legislation with bipartisan support
619522115872681984,2015-07-10 15:02:37,RepBillFoster,10,0,TweetDeck,RT @NatlHeadStart: An @NPR article on how #HeadStart programs can play a role in breaking the poverty cycle. http://t.co/BHnWsY44ad
619509636333477888,2015-07-10 14:13:01,RepBillFoster,188,0,TweetDeck,RT @Clyburn: An era of division is over. South Carolina's Statehouse will no longer fly the Confederate Battle Flag. #ItCameDown
619220691704016896,2015-07-09 19:04:52,RepBillFoster,1,1,TweetDeck,It’s time for lawmakers to take notice of these technological breakthroughs and begin discussions on how they will impact our future #CRISPR
619220530630127618,2015-07-09 19:04:13,RepBillFoster,1,0,TweetDeck,What's #CRISPR? Not the new invention from Taco Bell. Read my op-ed on human genetic engineering via @thehill http://t.co/TayRtLIdkT
619210915360206853,2015-07-09 18:26:01,RepBillFoster,3,0,TweetDeck,RT @WhipHoyer: .@RepBillFoster: fab labs spread the means to innovate &amp; produce real world products right here in US #MIIAWhatsNext https:/…
619210463054819328,2015-07-09 18:24:13,RepBillFoster,1,0,TweetDeck,"For our nation to prosper and for our economy to grow, America needs #makers #MakeItInAmerica #MIIAWhatsNext"
619210232401690624,2015-07-09 18:23:18,RepBillFoster,1,1,TweetDeck,I introduced legislation to create a national network of #fablabs to give #makers access to the tools and help they need to build things.
619207489112944640,2015-07-09 18:12:24,RepBillFoster,0,0,TweetDeck,I’m testifying at #MIIAWhatsNext Hearing on how @FabLabHub can help American innovators #MakeItInAmerica. Tune in:  https://t.co/Wb3Lccp1b7
619197029449920512,2015-07-09 17:30:50,RepBillFoster,0,0,TweetDeck,The #ConfederateFlag is a badge of division &amp; oppression. Hard to believe there is any debate #TakeItDown
619169272674263040,2015-07-09 15:40:32,RepBillFoster,5,3,TweetDeck,RT if you agree: emblems of hatred &amp; bigotry like the Confederate Flag have no place in our communities  #TakeItDown!
619159356974702592,2015-07-09 15:01:08,RepBillFoster,1,0,TweetDeck,.@Fermilab set a record for its high-energy particle beam used in neutrino expts. How did they do it? More here: http://t.co/86k3yD60d3
618879548336275457,2015-07-08 20:29:17,RepBillFoster,2,5,TweetDeck,Met with an energetic @NationalFCCLA group from @CityofAuroraIL. Thanks for stopping by! http://t.co/YDboezb20L
618873171245182976,2015-07-08 20:03:56,RepBillFoster,0,2,TweetDeck,"Congrats to @IMSA_ student Pranav Sivakumar, named @Google #GSF2015 Regional Finalist! See his #physics project: https://t.co/isQHGV9GNY"
618144529435246593,2015-07-06 19:48:35,RepBillFoster,3,1,TweetDeck,Have any good pics from the #4thofJuly? Send them to me using #IL11. Pic with the most Favs wins! http://t.co/XueV9sYbhC
618101171010596864,2015-07-06 16:56:17,RepBillFoster,2,1,Twitter Web Client,Congratulations to @ussoccer_wnt for winning their third #WorldCup! #SheBelieves http://t.co/9Xc94EUBp2
617362339751301120,2015-07-04 16:00:26,RepBillFoster,4,5,TweetDeck,Happy #IndependenceDay to #IL11. Where are you watching the fireworks tonight? Here's a list: http://t.co/ExfSLrB5O9 http://t.co/pAD1CY1u2j
616637528733384704,2015-07-02 16:00:18,RepBillFoster,0,1,TweetDeck,#TBT to my days as a soccer coach. I wanted to name the team the Fightin' Physicists but that was vetoed by the girls http://t.co/J1jrnoJ32X
616244956286431232,2015-07-01 14:00:21,RepBillFoster,3,0,TweetDeck,"Happy #NationalPostalWorkersDay! Thanks to those who brave the heat, snow, and rain to deliver our mail. @APWUnational"
615950477054709760,2015-06-30 18:30:12,RepBillFoster,1,0,TweetDeck,The job-supporting @ExImBankUS shuts down at midnight bc @HouseGOP failed to act. RT to show @SpeakerBoehner your support for #ExIm4Jobs.
615944428721541120,2015-06-30 18:06:10,RepBillFoster,0,0,TweetDeck,Feel like you're having a long day? It might be because we're adding another tick of the clock for #leapsecond. http://t.co/FGWhe9XB8z
615904256940322816,2015-06-30 15:26:32,RepBillFoster,2,1,TweetDeck,Today marks the end of a historic #LGBTPrideMonth. Happy to see that #marriageequality is finally the law of the land http://t.co/n46yKVvezB
615530623546081280,2015-06-29 14:41:51,RepBillFoster,1,1,TweetDeck,Yesterday I celebrated the 50 years of @Bolingbrook_IL. It was amazing to see how the community has grown! http://t.co/Mg0TvK2Vus
614452502889693186,2015-06-26 15:17:47,RepBillFoster,1956,0,TweetDeck,"RT @WhiteHouse: ""Sometimes, there are days like this—when that slow, steady effort is rewarded with justice that arrives like a thunderbolt…"
614436071049437184,2015-06-26 14:12:29,RepBillFoster,153,0,TweetDeck,RT @TPM: FULL DECISION: SCOTUS legalizes same-sex marriage nationwide http://t.co/GL2mW90RA9 http://t.co/OMMmMzIvUg
614433610578440196,2015-06-26 14:02:43,RepBillFoster,1,4,TweetDeck,Great news for the country! https://t.co/CmRelIEvXG
614176860776304640,2015-06-25 21:02:29,RepBillFoster,1,2,TweetDeck,#KingvBurwell #ACAWorks #SCOTUS http://t.co/jAd2xHgsWv
614092315280437248,2015-06-25 15:26:31,RepBillFoster,4,5,TweetDeck,Good luck to Joliet Central High School in tomorrow's 2015 @USArmy JROTC Leadership Bowl Championship! @JTHS_204 http://t.co/4xvo2ToMiU
614073615156387840,2015-06-25 14:12:13,RepBillFoster,11,15,TweetDeck,Great news!  https://t.co/RWR9tBSobf
613818061238349825,2015-06-24 21:16:44,RepBillFoster,0,0,TweetDeck,About to highlight the great work of @AuroraPoliceIL Officer David Bemer on the @HouseFloor. Watch live: http://t.co/p1UDmH4y4t
613793841934671876,2015-06-24 19:40:30,RepBillFoster,1,0,TweetDeck,"For more information on the Congressional Art Competition and how students can participate, visit: https://t.co/HHus9FMd3c."
613793765656911872,2015-06-24 19:40:12,RepBillFoster,1,2,TweetDeck,"Congrats to Amber Allen of Oswego HS, winner of the 2015 Congressional Art Competition. @ohs308 http://t.co/dMKooy3axY"
613773297386397696,2015-06-24 18:18:52,RepBillFoster,6,2,TweetDeck,.@HouseGOP brinksmanship is harming our economy once again – let’s stop the games &amp; show support for US jobs and biz. #HoldAVote #ExIm4Jobs
613773107271200772,2015-06-24 18:18:06,RepBillFoster,1,1,TweetDeck,"#FACT: Over the past two decades, @EximBankUS has generated a profit of close to $7 billion dollars for U.S. taxpayers."
613417464521719812,2015-06-23 18:44:54,RepBillFoster,1,0,TweetDeck,Thanks for your advocacy on this important issue! https://t.co/wN6yA7as2n
613417153472143360,2015-06-23 18:43:40,RepBillFoster,0,0,TweetDeck,Glad you enjoyed it! https://t.co/0iPf7h2tJ2
613361393266364417,2015-06-23 15:02:06,RepBillFoster,6,5,TweetDeck,"Congrats to @EASD131 students Oscar Miranda, Brian and Erik Strand for taking 8th in @NationalHistory Day competition http://t.co/xkseizCrn8"
613353304937103360,2015-06-23 14:29:58,RepBillFoster,0,0,TweetDeck,This morning I had breakfast with  the Rotary Club of @VillageOfLisle and spoke about Illinois' #PayerState problem http://t.co/LFhcHcEln0
612792040787722242,2015-06-22 01:19:42,RepBillFoster,1,2,TweetDeck,Happy #FathersDay from the Fosters! http://t.co/BomUbV4CEM
611915364516151296,2015-06-19 15:16:06,RepBillFoster,0,2,TweetDeck,"I visited Cornerstone Services' Art Show in #Joliet. They help those with disabilities live full, productive lives. http://t.co/Dt8k17rE6V"
611894131980419072,2015-06-19 13:51:44,RepBillFoster,3,0,TweetDeck,"RT @h2oschools: Hundreds of students in Naperville, IL Walking for WASH projects at schools in need around the world. @cheffernan75 http://…"
611894014502158336,2015-06-19 13:51:16,RepBillFoster,1,1,TweetDeck,Very true! https://t.co/c5zUGysEgn
611617360642879488,2015-06-18 19:31:56,RepBillFoster,0,3,TweetDeck,I again voted against #FastTrack because it doesn't do enough to protect good-paying jobs. Full statement here: http://t.co/mYzdnhj9rL
611615122801459202,2015-06-18 19:23:03,RepBillFoster,39,0,TweetDeck,RT @ErnestMoniz: Our #NationalLabs power science AND the economy. Here's proof → http://t.co/BCTYEchE29 http://t.co/a3pdMrddHv
611560687081537537,2015-06-18 15:46:44,RepBillFoster,0,1,TweetDeck,So saddened by the events in #Charleston. My thoughts are with the families and the community.
611260789035544576,2015-06-17 19:55:03,RepBillFoster,0,0,TweetDeck,"If you are a  victim of flooding and looking for more information on an insurance claim, @fema has launched a new call center 1-800-621-3362"
611260718038548481,2015-06-17 19:54:46,RepBillFoster,0,0,TweetDeck,"#IL11 has gotten a lot of rain over the past few days. More info on what to do before, during and after a flood at http://t.co/jbp6sLycf7"
611197017809887232,2015-06-17 15:41:39,RepBillFoster,0,0,TweetDeck,Great moves from @AuroraPoliceIL Officer David Bemer. Maybe @jimmyfallon and @MichelleObama should have a dance off? http://t.co/wHWJcKhsRq
610873596269998081,2015-06-16 18:16:29,RepBillFoster,2,0,TweetDeck,"RT @SciCmteDems: Watch LIVE now hearing on ""The Science &amp; Ethics of Genetically Engineered DNA"" http://t.co/VZ9bNh6Pow @RepLipinski @RepBil…"
610868732638941184,2015-06-16 17:57:09,RepBillFoster,0,1,TweetDeck,About to join @HouseScience for a hearing on the science and ethics of genetically engineered human DNA. Watch live: http://t.co/jrEbGNIXix
610641608724348928,2015-06-16 02:54:39,RepBillFoster,4,7,TweetDeck,Congrats to the @NHLBlackhawks! #OneGoal #GoHawks #StanleyCup http://t.co/m4sQHyRlOU
610449931955011585,2015-06-15 14:13:00,RepBillFoster,3,2,TweetDeck,I celebrated the opening of @AuroraPublicLib's Santori Public Library which will inspire a new generation of Aurorans http://t.co/rDgf2aQYd6
609808744965402624,2015-06-13 19:45:09,RepBillFoster,0,2,TweetDeck,I went to @auroragreenfest to see what is being done to make our community more eco-friendly http://t.co/HHGPNH8x1u
609433160196206592,2015-06-12 18:52:42,RepBillFoster,5,9,TweetDeck,"Thank you to everyone who called, emailed, tweeeted, or reached out to share your position on #FastTrack Always good to hear from you!"
609432256747294720,2015-06-12 18:49:07,RepBillFoster,24,35,TweetDeck,I voted against #FastTrack because it does not do enough to protect good-paying jobs. Read my full statement here: http://t.co/rizImKNRCv
609096556520833024,2015-06-11 20:35:10,RepBillFoster,3,0,TweetDeck,"RT @CityClubChicago: Miss Monday's event with @RepBillFoster? The video is now online for viewing: http://t.co/XqdHnQKMDi 
#talkcityclub ht…"
609091453848055808,2015-06-11 20:14:53,RepBillFoster,2,5,TweetDeck,Had a chance to talk with @NaperChamber CEO @nanderson61 -- glad to see you advocating for #IL11 #IamSmallBiz http://t.co/zUAYCbS05b
608723232498311169,2015-06-10 19:51:42,RepBillFoster,4,10,TweetDeck,"52 yrs after #EqualPay Act signed by JFK, women avg 78 cents to men’s dollar. I’m fighting for paycheck fairness bc… http://t.co/ZtfCs7DOyz"
607966759144947712,2015-06-08 17:45:45,RepBillFoster,4,0,TweetDeck,RT @buckybacker97: @RepBillFoster: IL a bottom 3 state in net loss of federal tax dollars annually. Residents pay $1500/ year in taxes abov…
607963108661850112,2015-06-08 17:31:15,RepBillFoster,1,0,TweetDeck,RT @CityClubChicago: It's on. @RepBillFoster takes the stage at the City Club of Chicago. Join us live: http://t.co/qabaw0FAk8 #talkcityclub
607352411246624769,2015-06-07 01:04:33,RepBillFoster,0,3,TweetDeck,I spoke with walkers at Joliet's @RelayForLife. Great to see so many people #RelayForLife http://t.co/PFNPVrTcPu
607238060644790273,2015-06-06 17:30:10,RepBillFoster,10,8,TweetDeck,I took the stage with @Fermilab's #MrFreeze to see what would happen if Han Solo really was frozen in carbonite http://t.co/PJZEh4A4UY
607237652455157760,2015-06-06 17:28:32,RepBillFoster,2,2,TweetDeck,I'm @JolietLibrary's 6th Annual Star Wars Day to encourage students to read and use their imagination #JPLSWD http://t.co/p3vFHVEJJ3
606861304700239873,2015-06-05 16:33:04,RepBillFoster,1,3,TweetDeck,This morning I spoke with local entrepreneurs at @waubonsee about doing business in IL http://t.co/xu0EhL1HJ4
606546380979511298,2015-06-04 19:41:40,RepBillFoster,0,2,TweetDeck,@SciDebate sure thing -- you can call the office at 202-225-3515
606490186743083009,2015-06-04 15:58:23,RepBillFoster,7,12,TweetDeck,I'd be happy to moderate #CongressScienceGuy https://t.co/BTj7CKlwtJ
606158710470275072,2015-06-03 18:01:13,RepBillFoster,1,0,TweetDeck,RT @RepCloakroom: Now voting on the Rep. Foster (D-IL) {@RepBillFoster} Amendment – 2 Minute Vote
